ground_truth,input,article_link,model_output,ai_confidence,is_correct
1,woman mentally rifles through friends for perfect person to sympathize with current pettiness,https://local.theonion.com/woman-mentally-rifles-through-friends-for-perfect-perso-1823359362,1,0.9551,1
0,the 'bear-naked chef' brings his mouth-watering skills to europe,https://www.huffingtonpost.com/entry/bear-naked-chef-travel_us_572a4aa9e4b016f3789487cd,0,0.9469,1
1,taylor swift breaks political silence to throw support behind restoring shōgun to throne of japan,https://entertainment.theonion.com/taylor-swift-breaks-political-silence-to-throw-support-1829602513,1,0.7318,1
1,sudanese youths go wild for great taste of any food whatsoever,https://www.theonion.com/sudanese-youths-go-wild-for-great-taste-of-any-food-wha-1819564641,1,0.8232,1
0,trump supporters are stepping up their attacks on bob mueller and the fbi,https://www.huffingtonpost.com/entry/trump-fbi-mueller-special-counsel_us_5a36c5e4e4b01d429cc9e056,0,0.9436,1
1,parole board swayed by reverse psychology,https://local.theonion.com/parole-board-swayed-by-reverse-psychology-1819568519,1,0.8706,1
1,upper-middle-class woman worries there's better coffee she doesn't know about,https://www.theonion.com/upper-middle-class-woman-worries-theres-better-coffee-s-1819566673,1,0.8916,1
0,fbi interviews clinton aides including huma abedin as part of email probe,https://www.huffingtonpost.comhttp://www.cnn.com/2016/05/05/politics/fbi-interviews-huma-abedin-clinton-aide/index.html,0,0.8546,1
0,a queer woman embarks on unusual quest for acceptance in new film,https://www.huffingtonpost.com/entry/robin-cloud-out-again_us_58c94d10e4b01c029d77e911,0,0.6152,1
0,deconstructing mr. damore's google diversity memo,https://www.huffingtonpost.com/entry/deconstructing-mr-damones-google-diversity-memo_us_5991de85e4b0caa1687a624b,0,0.9433,1
0,rattlesnakes have been observed,https://www.huffingtonpost.com/entry/rattlesnakes-have-been-ob_b_5966992.html,0,0.8281,1
1,someone's job riding on success of antacid gum,https://www.theonion.com/someones-job-riding-on-success-of-antacid-gum-1819587009,1,0.7846,1
0,cambodian paper takes parting shot at 'dictatorship' in final edition,https://www.huffingtonpost.com/entry/cambodia-daily-newspaper_us_59ad72c6e4b0b5e53100155d,1,0.9076,0
0,man accused of masturbating in car near girl scouts,https://www.huffingtonpost.com/entry/man-accused-of-masturbating-in-car-near-girl-scouts_us_56d5de26e4b03260bf783cfa,1,0.8629,0
1,black community united by love of homeboys in outer space episode,https://www.theonion.com/black-community-united-by-love-of-homeboys-in-outer-spa-1819586137,1,0.6343,1
0,we deserve better,https://www.huffingtonpost.com/entry/americans-shouldnt-have-to-live-under-the-constant-threat-of-gun-violence_us_59418204e4b003d5948cdd84,0,0.9315,1
1,hillary clinton suspended 3 weeks by fec for spitting on volunteer,https://politics.theonion.com/hillary-clinton-suspended-3-weeks-by-fec-for-spitting-o-1819577997,0,0.8207,0
