ground_truth,input,article_link,model_output,ai_confidence,is_correct
0,breathe: raising the voice of justice,https://www.huffingtonpost.com/entry/breathe_b_6395066.html,0,0.9479,1
0,"iman shumpert helped deliver his baby, and headphones were involved",https://www.huffingtonpost.com/entry/cavaliers-iman-shumpert-baby-delivery_us_56730b24e4b0648fe3029e18,0,0.9142,1
0,filmmaker says 'stranger things' creators stole his ideas in new lawsuit,https://www.huffingtonpost.com/entry/stranger-things-suit-duffer-brothers_us_5ac4b7b7e4b093a1eb20d34c,1,0.7722,0
1,man finally comfortable enough around girlfriend to cheat on her,https://local.theonion.com/man-finally-comfortable-enough-around-girlfriend-to-che-1829334695,1,0.9569,1
1,scientists discover perfect little out-of-the-way place,https://www.theonion.com/scientists-discover-perfect-little-out-of-the-way-place-1819564319,1,0.9227,1
1,bleary-eyed cosmopolitan staffer cranks out 10 billionth way to bring out the animal in your man,https://www.theonion.com/bleary-eyed-cosmopolitan-staffer-cranks-out-10-billiont-1819564993,1,0.948,1
0,jailed for being too poor,https://www.huffingtonpost.com/entry/opinion-krinsky-debtors-prisons_us_5a720f72e4b09a544b560997,0,0.6877,1
1,man kinda excited for internal camera procedure,https://www.theonion.com/man-kinda-excited-for-internal-camera-procedure-1819567261,1,0.9557,1
1,amazingly humanlike robot able to commit thousands of mistakes per day,https://www.theonion.com/amazingly-humanlike-robot-able-to-commit-thousands-of-m-1819576754,1,0.9458,1
0,'60 minutes' reporter reveals trump's chilling reason for slamming the press,https://www.huffingtonpost.com/entry/60-minutes-reporter-trump-chilling-reason-for-slamming-press_us_5b048109e4b07c4ea102c8ca,0,0.8962,1
0,man accused of killing firefighter was mad over traffic delay: police,https://www.huffingtonpost.com/entry/man-who-killed-firefighter-mad-over-traffic-detlay_us_55f74d12e4b00e2cd5e7bdce,0,0.6918,1
0,singing the methane blues,https://www.huffingtonpost.com/entry/singing-the-methane-blues_b_5517408.html,0,0.9366,1
0,new gop governor's inauguration raises questions of corporate influence,https://www.huffingtonpost.com/entry/bruce-rauner-inauguration-corporate_n_6451146.html,0,0.576,1
1,"'one day this will all be yours,' says buzz aldrin while showing great-grandson around moon",https://www.theonion.com/one-day-this-will-all-be-yours-says-buzz-aldrin-whil-1835522696,1,0.9283,1
0,nypd arrests down for second week,https://www.huffingtonpost.comhttp://www.nytimes.com/2015/01/06/nyregion/decrease-in-new-york-police-arrests-continues-for-a-second-week.html,0,0.6094,1
1,angela merkel opens up to the only newspaper she trusts,https://www.theonion.com/angela-merkel-opens-up-to-the-only-newspaper-she-trusts-1819572740,0,0.8647,0
0,judge orders man accused of tweeting threats to never tweet,https://www.huffingtonpost.com/entry/man-accused-of-tweeting-threats_us_57740264e4b042fba1ced080,1,0.9166,0
1,baby found on doorstep moved to neighbor's doorstep,https://local.theonion.com/baby-found-on-doorstep-moved-to-neighbors-doorstep-1819587233,1,0.952,1
0,"astronomers discover tiny, shy moon hiding in the shadows of the solar system",https://www.huffingtonpost.com/entry/astronomers-discover-tiny-shy-moon-hiding-in-outer-solar-system_us_571ff9b1e4b0f309baef280d,1,0.6152,0
0,how marketing leaders can secure a seat in the c-suite,https://www.huffingtonpost.com/entry/how-marketing-leaders-can_b_5170560.html,0,0.952,1
0,man accused of killing dad for not getting him fast food,https://www.huffingtonpost.com/entry/ronald-pritchett-accused-fast-food_us_56586088e4b08e945feb30df,1,0.8987,0
1,perfect gift for boring asshole found at crate & barrel,https://www.theonion.com/perfect-gift-for-boring-asshole-found-at-crate-barrel-1819587890,1,0.9522,1
1,dad finally found in front of tvs at sears,https://local.theonion.com/dad-finally-found-in-front-of-tvs-at-sears-1819565656,1,0.9391,1
0,psychic fall cometh!,https://www.huffingtonpost.com/entry/physhic-fall-queer-party_n_6161428.html,1,0.7878,0
1,parenting experts warn screen time greatly increases risk of child becoming an influencer,https://www.theonion.com/parenting-experts-warn-screen-time-greatly-increases-ri-1832241704,1,0.8114,1
1,aides rush on stage to rotate scott walker back to direction of audience,https://politics.theonion.com/aides-rush-on-stage-to-rotate-scott-walker-back-to-dire-1819578228,1,0.9494,1
0,support pours in for 4-year-old whose prosthetic was stolen,https://www.huffingtonpost.com/entry/support-pours-in-for-4-year-old-amputee-whose-prosthetic-was-stolen_us_5798ff6de4b02d5d5ed3eeb9,1,0.9252,0
1,"'t. rex may be smaller than previously thought,' report 50-foot-tall researchers",https://www.theonion.com/t-rex-may-be-smaller-than-previously-thought-report-1832828723,1,0.8589,1
1,new study finds humans shouldn't spend more than 5 consecutive hours together,https://www.theonion.com/new-study-finds-humans-shouldn-t-spend-more-than-5-cons-1819576815,1,0.9185,1
1,styrofoam coffee cup from omaha excited to finally see pacific ocean,https://www.theonion.com/styrofoam-coffee-cup-from-omaha-excited-to-finally-see-1819592756,1,0.9209,1
0,what if you couldn't protect your children?,https://www.huffingtonpost.com/entry/what-if-you-couldnt-protect-your-children_us_58ee2975e4b0ea028d568e82,0,0.9426,1
1,'anthem' developers assure players whiteboard with words 'jetpack+guns?' will be playable game by friday,https://ogn.theonion.com/anthem-developers-assure-players-whiteboard-with-word-1832762063,1,0.9105,1
0,"happy valentine's day, weirdo!",https://www.huffingtonpost.com/entry/weird-valentines-day-gift_n_6557916.html,0,0.9046,1
1,lindsay lohan's rehab stint off to great start—and she's gone,https://entertainment.theonion.com/lindsay-lohans-rehab-stint-off-to-great-start-and-she-s-1819574941,0,0.8469,0
0,ferguson police officer shot,https://www.huffingtonpost.com/entry/ferguson-police-officer-shot_n_5894594.html,0,0.7802,1
0,a new future for fashion,https://www.huffingtonpost.com/entry/a-new-future-for-fashion_b_7120694.html,0,0.9545,1
1,perfect response to heckler somewhere in prop comedian's trunk,https://entertainment.theonion.com/perfect-response-to-heckler-somewhere-in-prop-comedians-1819568560,1,0.9504,1
